rituals correct,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s17,s18,s19,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44
1,0,0,2,1,1,0,3,3,0,2,0,0,1,3,3,0,1,0,0,1,0,1,0,0,2,0,1,0,1,0,1,0,2,0,0,1,1,1,1,0
2,0,0,2,0,0,0,2,2,3,0,1,3,0,1,3,1,1,0,0,2,0,2,1,2,1,0,0,1,2,1,0,1,0,0,2,0,1,0,2,0
6,1,1,2,1,2,0,1,1,1,2,0,0,1,1,3,0,1,0,3,0,0,1,0,3,0,2,1,0,2,1,0,1,2,0,0,1,1,1,3,2
17,0,0,1,0,0,0,1,1,2,0,0,1,0,3,3,1,1,1,0,0,0,0,0,0,1,0,1,0,1,0,1,0,0,0,0,2,0,1,3,0
19,0,1,1,2,0,0,2,1,0,0,0,0,0,2,3,1,0,0,2,1,0,2,1,2,2,1,1,0,1,1,0,1,1,1,0,1,1,1,1,0
20,0,2,2,0,0,3,0,1,3,0,0,0,0,0,3,1,1,0,0,3,0,0,0,2,2,0,0,0,1,1,2,0,0,0,1,1,1,0,1,3
22,0,0,0,0,0,0,0,1,0,1,0,2,0,0,1,1,0,0,0,2,0,0,0,2,3,1,0,0,2,0,2,0,0,0,0,1,1,2,2,3
23,1,0,2,3,0,0,2,1,2,0,0,0,0,2,0,0,1,0,3,0,0,1,0,0,0,1,0,0,2,2,0,1,1,0,1,0,1,1,3,0
28,0,1,2,2,1,0,2,1,2,3,0,3,0,1,3,0,2,1,3,0,0,0,0,2,0,0,0,0,1,1,2,0,0,0,0,1,1,0,2,3
29,0,3,1,2,0,3,2,0,2,0,0,3,0,2,0,0,0,0,2,1,1,2,1,2,1,0,0,0,0,0,1,1,0,0,1,2,1,0,1,0
34,0,2,3,1,2,2,2,0,0,0,0,0,1,3,1,1,1,0,0,2,0,2,0,0,2,0,1,0,1,0,0,0,0,1,1,1,0,2,3,0
38,0,3,2,3,0,0,0,1,3,2,0,0,0,1,3,2,0,0,0,2,0,0,0,1,0,2,0,3,0,1,2,0,1,1,0,1,0,1,2,1
